w,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,norm_strength,norm_threshold,norm_steepness
0.40,1,1.631589,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.40,1,3.868942,0.260447,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.40,1,3.010199,0.160000,0.614598,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.40,1,2.635921,0.160000,0.450000,0.092403,0.060000,0.015000,0.550000,0.420000,14.000000
0.40,1,1.598081,0.160000,0.450000,0.050000,0.103183,0.015000,0.550000,0.420000,14.000000
0.40,1,1.248696,0.160000,0.450000,0.050000,0.060000,0.028199,0.550000,0.420000,14.000000
0.40,1,1.217646,0.160000,0.450000,0.050000,0.060000,0.015000,0.716017,0.420000,14.000000
0.40,1,1.120898,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.556449,14.000000
0.40,1,1.604206,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,19.509791
0.40,1,0.756946,0.092549,0.492461,0.058897,0.069587,0.017732,0.595447,0.454926,15.386618
0.40,1,0.962294,0.055010,0.513614,0.063774,0.074718,0.019238,0.617373,0.472396,16.086224
0.40,1,0.471239,0.139867,0.301358,0.061300,0.072125,0.018473,0.606486,0.463669,15.736257
0.40,1,0.168002,0.130636,0.187774,0.067622,0.078705,0.020431,0.633398,0.485429,16.610837
0.40,1,0.262856,0.132892,0.381152,0.028201,0.077030,0.019927,0.626767,0.480009,16.392373
0.40,1,0.369888,0.126772,0.364574,0.049159,0.081684,0.021334,0.644835,0.494873,16.992371
0.40,1,0.310062,0.119488,0.344352,0.048951,0.087697,0.023192,0.666646,0.513219,10.979503
0.40,1,0.222944,0.110943,0.319972,0.048692,0.046308,0.025670,0.692604,0.535645,15.536102
0.40,1,0.492757,0.101114,0.291090,0.048369,0.079475,0.013063,0.722867,0.562642,15.923360
0.40,1,0.340764,0.090095,0.257744,0.047968,0.084841,0.024314,0.561311,0.594368,16.407528
0.40,1,0.627655,0.078159,0.220666,0.047470,0.091785,0.027174,0.726659,0.474365,17.011233
0.40,1,0.289504,0.129628,0.156120,0.037796,0.086173,0.025949,0.720681,0.578052,16.019690
0.40,1,0.593327,0.173382,0.346317,0.044744,0.063607,0.016616,0.585763,0.584914,14.155379
0.40,1,0.231127,0.142684,0.310943,0.045413,0.070100,0.018904,0.624432,0.559049,14.864195
0.40,1,0.209543,0.146632,0.270015,0.043206,0.072215,0.035577,0.562018,0.498561,14.970674
0.40,1,0.101453,0.121576,0.195575,0.041122,0.067932,0.026768,0.631766,0.566831,13.421589
0.40,1,0.124399,0.119053,0.142806,0.037535,0.061627,0.029793,0.625128,0.599442,11.730951
0.40,1,0.496098,0.182273,0.263578,0.040561,0.061379,0.024168,0.720829,0.455093,13.260077
0.40,1,0.210685,0.107738,0.259193,0.046019,0.078565,0.024277,0.605093,0.562295,15.611899
0.40,1,0.128428,0.135420,0.180608,0.039091,0.057231,0.025606,0.609998,0.554518,19.988854
0.40,1,0.628131,0.126243,0.404681,0.050963,0.052269,0.022794,0.511701,0.480752,15.849351
0.40,1,0.149982,0.128774,0.199564,0.040786,0.076735,0.025135,0.674918,0.555074,15.977104
0.40,1,0.133369,0.122159,0.142238,0.071947,0.059421,0.030941,0.634051,0.595277,15.373136
0.40,1,0.151431,0.109297,0.145770,0.052398,0.063017,0.036030,0.638725,0.530855,17.029394
0.40,1,0.099166,0.140089,0.118275,0.049828,0.097318,0.030051,0.548613,0.553286,16.730183
0.40,1,0.146567,0.157054,0.080986,0.050405,0.129066,0.032395,0.468773,0.561902,17.324331
0.40,1,0.189760,0.153750,0.119868,0.053712,0.063902,0.033240,0.630084,0.523851,16.933354
0.40,1,0.205526,0.114505,0.097790,0.060115,0.067715,0.021976,0.684319,0.590632,18.054272
0.40,1,0.139040,0.121865,0.122108,0.055469,0.068823,0.024998,0.655931,0.569053,17.290437
0.40,1,0.251944,0.102814,0.211360,0.049005,0.077666,0.022032,0.628433,0.578840,16.193111
0.40,1,0.098884,0.139237,0.136917,0.052503,0.067189,0.030175,0.629671,0.538094,16.748622
0.40,1,0.189300,0.123338,0.123765,0.035731,0.060393,0.038429,0.624151,0.621961,16.550882
0.40,1,0.085516,0.128775,0.168470,0.058114,0.073851,0.024277,0.631099,0.522649,16.595851
0.40,1,0.092211,0.153164,0.163335,0.048303,0.078604,0.019817,0.616748,0.582369,16.022376
0.40,1,0.107578,0.136162,0.116076,0.064012,0.065096,0.027748,0.561048,0.566337,17.085661
0.40,1,0.159989,0.147771,0.185474,0.049321,0.071774,0.028613,0.557899,0.551580,15.719310
0.40,1,0.094866,0.127928,0.134824,0.053879,0.069554,0.025872,0.632636,0.564742,16.899161
0.40,1,0.172887,0.149098,0.155071,0.034306,0.085240,0.021882,0.581614,0.514365,18.008632
0.40,1,0.088979,0.128450,0.145311,0.060447,0.065344,0.028490,0.621281,0.576279,16.035184
0.40,1,0.110017,0.132888,0.117574,0.070942,0.090532,0.027443,0.609394,0.563737,12.361540
0.40,1,0.090547,0.133517,0.130067,0.061583,0.081397,0.026976,0.609545,0.561448,14.242022
0.40,2,11.657578,0.400924,0.610175,0.253376,0.041651,0.079882,0.190943,0.707857,7.912195
0.40,2,13.218585,0.489702,0.610175,0.253376,0.041651,0.079882,0.190943,0.707857,7.912195
0.40,2,13.691989,0.400924,0.739669,0.253376,0.041651,0.079882,0.190943,0.707857,7.912195
0.40,2,12.253516,0.400924,0.610175,0.277090,0.041651,0.079882,0.190943,0.707857,7.912195
0.40,2,11.529776,0.400924,0.610175,0.253376,0.076978,0.079882,0.190943,0.707857,7.912195
0.40,2,10.817012,0.400924,0.610175,0.253376,0.041651,0.089834,0.190943,0.707857,7.912195
0.40,2,10.800256,0.400924,0.610175,0.253376,0.041651,0.079882,0.340963,0.707857,7.912195
0.40,2,11.428036,0.400924,0.610175,0.253376,0.041651,0.079882,0.190943,0.755362,7.912195
0.40,2,11.603276,0.400924,0.610175,0.253376,0.041651,0.079882,0.190943,0.707857,12.452905
0.40,2,9.565141,0.426197,0.445081,0.260721,0.049062,0.082905,0.223282,0.722716,8.898665
0.40,2,7.981258,0.438120,0.288588,0.264011,0.053126,0.084276,0.240812,0.729328,9.431634
0.40,2,7.692930,0.298973,0.529726,0.263211,0.052088,0.083942,0.236346,0.727724,9.295958
0.40,2,4.330689,0.195063,0.487527,0.267424,0.057985,0.085710,0.261591,0.736162,10.061755
0.40,2,7.798127,0.360525,0.498133,0.223430,0.056468,0.085284,0.255125,0.734139,9.865869
0.40,2,7.537324,0.350027,0.468938,0.254261,0.060707,0.086431,0.273146,0.739567,10.411445
0.40,2,6.767665,0.336755,0.432556,0.254480,0.066302,0.087758,0.296707,0.745781,6.226533
0.40,2,5.894134,0.320012,0.388006,0.254753,0.033346,0.089259,0.327645,0.752723,9.369162
0.40,2,4.548871,0.299003,0.335101,0.255092,0.060730,0.090905,0.368325,0.701533,9.767445
0.40,2,3.391024,0.272928,0.275357,0.255513,0.066332,0.082242,0.421515,0.751176,10.283516
0.40,2,1.423857,0.211158,0.164623,0.256551,0.081698,0.077027,0.557475,0.764936,11.655659
0.40,2,2.463844,0.225941,0.187066,0.256293,0.077685,0.090809,0.295862,0.761887,11.302357
0.40,2,1.897914,0.145858,0.427200,0.241264,0.068802,0.089506,0.422547,0.756799,9.989323
0.40,2,1.602282,0.165370,0.223658,0.275506,0.068192,0.089679,0.450126,0.758238,9.580815
0.40,2,1.235296,0.138060,0.198225,0.262695,0.065481,0.089521,0.475307,0.758436,8.879175
0.40,2,1.430591,0.078627,0.126193,0.266388,0.067957,0.090820,0.581386,0.765655,8.187437
0.40,2,1.202718,0.112756,0.178913,0.264361,0.059740,0.088803,0.494174,0.756565,15.380428
0.40,2,1.689102,0.060826,0.115546,0.268568,0.056631,0.089295,0.594858,0.761174,20.899106
0.40,2,1.389876,0.090687,0.167161,0.266258,0.117020,0.087117,0.501965,0.751183,12.237420
0.40,2,1.490811,0.072632,0.165271,0.268393,0.088000,0.083604,0.492016,0.781406,12.429396
0.40,2,1.528694,0.094916,0.087607,0.256682,0.100159,0.089082,0.663973,0.778200,12.719827
0.40,2,1.950645,0.064901,0.178997,0.267801,0.082671,0.082522,0.708607,0.767672,11.732343
0.40,2,1.496511,0.088670,0.180977,0.265202,0.081409,0.085027,0.615392,0.766309,11.623969
0.40,2,1.559523,0.090819,0.074600,0.279808,0.095958,0.083167,0.637504,0.773277,13.630392
0.40,2,1.765251,0.069128,0.093589,0.252618,0.104304,0.080812,0.655575,0.775288,15.252773
0.40,2,1.237756,0.133229,0.175931,0.270967,0.076493,0.087878,0.503821,0.763324,10.862308
0.40,2,1.723030,0.138124,0.406895,0.239028,0.070835,0.089073,0.435860,0.758172,10.308491
0.40,2,1.337495,0.100844,0.102747,0.272989,0.089333,0.084847,0.589869,0.770083,12.755467
0.40,2,1.924341,0.134191,0.336895,0.273862,0.065071,0.081794,0.385468,0.745048,11.130641
0.40,2,1.288495,0.103500,0.116096,0.261700,0.090700,0.087544,0.599388,0.772422,12.312024
0.40,2,1.152860,0.149135,0.132018,0.266393,0.084170,0.087194,0.435441,0.765782,12.375950
0.40,2,1.582952,0.191054,0.114253,0.266975,0.085567,0.088173,0.346453,0.765515,12.760869
0.40,2,1.297037,0.213755,0.136044,0.262467,0.076822,0.089072,0.548275,0.729741,11.559530
0.40,2,1.417479,0.073853,0.130436,0.273893,0.081690,0.093932,0.480206,0.754433,12.305090
0.40,2,1.221640,0.096320,0.138012,0.270259,0.081692,0.091349,0.499712,0.757305,12.140983
0.40,2,1.205039,0.176825,0.123000,0.267149,0.046869,0.089561,0.535634,0.768415,11.697995
0.40,2,1.615138,0.182909,0.218816,0.257227,0.056665,0.092017,0.431833,0.747863,10.953690
0.40,2,1.167140,0.117403,0.121642,0.269624,0.080367,0.087025,0.551402,0.765568,12.291265
0.40,2,1.439517,0.072935,0.153347,0.270660,0.067977,0.088293,0.475841,0.781879,12.300671
0.40,2,1.118957,0.165723,0.140112,0.264683,0.074551,0.088882,0.530356,0.749385,11.742449
0.40,2,1.692945,0.172286,0.192462,0.271862,0.053218,0.090033,0.404930,0.745232,11.409816
0.40,2,1.173673,0.117817,0.130640,0.264502,0.080241,0.088212,0.552180,0.767180,12.082988
0.40,3,8.174156,0.498468,0.290179,0.159285,0.175027,0.038949,0.132525,0.647234,26.440285
0.40,3,8.811888,0.549512,0.290179,0.159285,0.175027,0.038949,0.132525,0.647234,26.440285
0.40,3,11.418486,0.498468,0.447037,0.159285,0.175027,0.038949,0.132525,0.647234,26.440285
0.40,3,10.288670,0.498468,0.290179,0.214755,0.175027,0.038949,0.132525,0.647234,26.440285
0.40,3,7.814490,0.498468,0.290179,0.159285,0.209649,0.038949,0.132525,0.647234,26.440285
0.40,3,6.781876,0.498468,0.290179,0.159285,0.175027,0.058674,0.132525,0.647234,26.440285
0.40,3,7.926647,0.498468,0.290179,0.159285,0.175027,0.038949,0.251879,0.647234,26.440285
0.40,3,8.093778,0.498468,0.290179,0.159285,0.175027,0.038949,0.132525,0.721982,26.440285
0.40,3,8.307701,0.498468,0.290179,0.159285,0.175027,0.038949,0.132525,0.647234,28.280111
0.40,3,6.473324,0.514149,0.177806,0.174087,0.185089,0.043795,0.157017,0.669774,27.016804
0.40,3,5.605817,0.521209,0.112611,0.181329,0.189778,0.046270,0.170566,0.680043,27.273044
0.40,3,4.900323,0.519491,0.227535,0.106232,0.188628,0.045649,0.167095,0.677537,27.210887
0.40,3,3.623505,0.528560,0.201073,0.061100,0.194770,0.049076,0.186880,0.690816,27.537683
0.40,3,4.526420,0.435709,0.207385,0.137064,0.193277,0.048217,0.181774,0.687610,27.459383
0.40,3,4.687786,0.500352,0.190508,0.131559,0.197315,0.050579,0.196076,0.696245,24.457632
0.40,3,3.941680,0.500819,0.171491,0.124750,0.202061,0.053528,0.215101,0.706260,26.855356
0.40,3,3.585144,0.501399,0.150788,0.116390,0.207525,0.057176,0.240665,0.613729,26.952297
0.40,3,2.858998,0.502840,0.111957,0.096522,0.219014,0.065888,0.312771,0.533044,27.183238
0.40,3,3.095235,0.502481,0.120126,0.101327,0.216420,0.063784,0.134300,0.684012,27.127003
0.40,3,3.072791,0.503464,0.099741,0.088412,0.188365,0.069421,0.255475,0.692016,27.279298
0.40,3,2.595539,0.504682,0.082045,0.073705,0.219790,0.053425,0.295486,0.701380,27.459509
0.40,3,2.000841,0.507673,0.060374,0.044617,0.231941,0.050763,0.408190,0.721842,27.863812
0.40,3,2.421965,0.473801,0.142309,0.036913,0.221125,0.066423,0.297335,0.685553,26.866996
0.40,3,3.058499,0.492791,0.085295,0.045483,0.221282,0.066247,0.290735,0.664913,28.754277
0.40,3,4.059048,0.545556,0.070690,0.030372,0.228043,0.072217,0.343497,0.669081,27.566794
0.40,3,3.321882,0.526648,0.085310,0.047094,0.221784,0.066788,0.297228,0.673923,27.540333
0.40,3,4.220614,0.510833,0.070143,0.026077,0.226876,0.070721,0.321412,0.634069,28.165388
0.40,3,2.941228,0.503403,0.129378,0.090279,0.209718,0.058090,0.239188,0.691171,27.244304
0.40,3,2.053851,0.469150,0.063023,0.069550,0.232048,0.075970,0.378287,0.655689,27.573029
0.40,3,2.294411,0.453916,0.098161,0.095599,0.216963,0.062915,0.266900,0.670122,27.578531
0.40,3,1.388017,0.475272,0.071679,0.042954,0.222367,0.065742,0.544217,0.655218,28.020835
0.40,3,0.742118,0.459741,0.061835,0.026190,0.224980,0.066702,0.753222,0.638959,28.364454
0.40,3,1.692061,0.462152,0.071653,0.037091,0.239236,0.059066,0.492865,0.629812,28.158253
0.40,3,1.276360,0.467092,0.077198,0.071158,0.229981,0.060715,0.502841,0.653895,25.719348
0.40,3,1.122883,0.442570,0.058802,0.031905,0.238492,0.069219,0.632549,0.609135,27.752157
0.40,3,0.864430,0.425154,0.056980,0.021301,0.238080,0.062635,0.626768,0.737025,27.924289
0.40,3,0.426681,0.450098,0.052313,0.054500,0.239766,0.061094,0.712543,0.654256,28.329001
0.40,3,0.633589,0.437212,0.050347,0.065485,0.244045,0.058318,0.840821,0.636399,28.793112
0.40,3,0.791167,0.469474,0.052166,0.015714,0.243514,0.064235,0.810796,0.667332,28.011923
0.40,3,0.617933,0.454352,0.055303,0.015920,0.240349,0.045555,0.812801,0.683420,28.113968
0.40,3,1.119962,0.383577,0.055636,0.020372,0.241823,0.070890,0.852193,0.578271,27.919931
0.40,3,1.096622,0.427042,0.051902,0.021314,0.237084,0.066480,0.865670,0.683904,27.517895
0.40,3,1.528132,0.409979,0.050769,0.007156,0.243891,0.066339,0.897535,0.671146,29.118255
0.40,3,0.692046,0.454014,0.061278,0.042409,0.235017,0.062155,0.655049,0.658361,27.054182
0.40,3,0.983625,0.440597,0.052580,0.019429,0.238450,0.055597,0.863004,0.711901,28.109089
0.40,3,0.716502,0.498595,0.053321,0.030140,0.232422,0.049471,0.665859,0.744028,28.003460
0.40,3,1.183166,0.484212,0.061259,0.031413,0.237880,0.050192,0.549981,0.700974,28.422370
0.40,3,0.767271,0.442762,0.052971,0.023514,0.237287,0.062609,0.818239,0.688381,27.780378
0.40,3,1.457879,0.473713,0.058620,0.035911,0.236124,0.063188,0.530670,0.662794,27.836575
0.40,3,0.713870,0.449361,0.053491,0.022729,0.237906,0.057534,0.812887,0.701252,28.044104
0.60,1,1.631589,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.60,1,3.868942,0.260447,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.60,1,3.010199,0.160000,0.614598,0.050000,0.060000,0.015000,0.550000,0.420000,14.000000
0.60,1,2.635921,0.160000,0.450000,0.092403,0.060000,0.015000,0.550000,0.420000,14.000000
0.60,1,1.598081,0.160000,0.450000,0.050000,0.103183,0.015000,0.550000,0.420000,14.000000
0.60,1,1.248696,0.160000,0.450000,0.050000,0.060000,0.028199,0.550000,0.420000,14.000000
0.60,1,1.217646,0.160000,0.450000,0.050000,0.060000,0.015000,0.716017,0.420000,14.000000
0.60,1,1.120898,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.556449,14.000000
0.60,1,1.604206,0.160000,0.450000,0.050000,0.060000,0.015000,0.550000,0.420000,19.509791
0.60,1,0.756946,0.092549,0.492461,0.058897,0.069587,0.017732,0.595447,0.454926,15.386618
0.60,1,0.962294,0.055010,0.513614,0.063774,0.074718,0.019238,0.617373,0.472396,16.086224
0.60,1,0.471239,0.139867,0.301358,0.061300,0.072125,0.018473,0.606486,0.463669,15.736257
0.60,1,0.168002,0.130636,0.187774,0.067622,0.078705,0.020431,0.633398,0.485429,16.610837
0.60,1,0.262856,0.132892,0.381152,0.028201,0.077030,0.019927,0.626767,0.480009,16.392373
0.60,1,0.369888,0.126772,0.364574,0.049159,0.081684,0.021334,0.644835,0.494873,16.992371
0.60,1,0.310062,0.119488,0.344352,0.048951,0.087697,0.023192,0.666646,0.513219,10.979503
0.60,1,0.222944,0.110943,0.319972,0.048692,0.046308,0.025670,0.692604,0.535645,15.536102
0.60,1,0.492757,0.101114,0.291090,0.048369,0.079475,0.013063,0.722867,0.562642,15.923360
0.60,1,0.340764,0.090095,0.257744,0.047968,0.084841,0.024314,0.561311,0.594368,16.407528
0.60,1,0.627655,0.078159,0.220666,0.047470,0.091785,0.027174,0.726659,0.474365,17.011233
0.60,1,0.289504,0.129628,0.156120,0.037796,0.086173,0.025949,0.720681,0.578052,16.019690
0.60,1,0.593327,0.173382,0.346317,0.044744,0.063607,0.016616,0.585763,0.584914,14.155379
0.60,1,0.231127,0.142684,0.310943,0.045413,0.070100,0.018904,0.624432,0.559049,14.864195
0.60,1,0.209543,0.146632,0.270015,0.043206,0.072215,0.035577,0.562018,0.498561,14.970674
0.60,1,0.101453,0.121576,0.195575,0.041122,0.067932,0.026768,0.631766,0.566831,13.421589
0.60,1,0.124399,0.119053,0.142806,0.037535,0.061627,0.029793,0.625128,0.599442,11.730951
0.60,1,0.496098,0.182273,0.263578,0.040561,0.061379,0.024168,0.720829,0.455093,13.260077
0.60,1,0.210685,0.107738,0.259193,0.046019,0.078565,0.024277,0.605093,0.562295,15.611899
0.60,1,0.128428,0.135420,0.180608,0.039091,0.057231,0.025606,0.609998,0.554518,19.988854
0.60,1,0.628131,0.126243,0.404681,0.050963,0.052269,0.022794,0.511701,0.480752,15.849351
0.60,1,0.149982,0.128774,0.199564,0.040786,0.076735,0.025135,0.674918,0.555074,15.977104
0.60,1,0.133369,0.122159,0.142238,0.071947,0.059421,0.030941,0.634051,0.595277,15.373136
0.60,1,0.151431,0.109297,0.145770,0.052398,0.063017,0.036030,0.638725,0.530855,17.029394
0.60,1,0.099166,0.140089,0.118275,0.049828,0.097318,0.030051,0.548613,0.553286,16.730183
0.60,1,0.146567,0.157054,0.080986,0.050405,0.129066,0.032395,0.468773,0.561902,17.324331
0.60,1,0.189760,0.153750,0.119868,0.053712,0.063902,0.033240,0.630084,0.523851,16.933354
0.60,1,0.205526,0.114505,0.097790,0.060115,0.067715,0.021976,0.684319,0.590632,18.054272
0.60,1,0.139040,0.121865,0.122108,0.055469,0.068823,0.024998,0.655931,0.569053,17.290437
0.60,1,0.251944,0.102814,0.211360,0.049005,0.077666,0.022032,0.628433,0.578840,16.193111
0.60,1,0.098884,0.139237,0.136917,0.052503,0.067189,0.030175,0.629671,0.538094,16.748622
0.60,1,0.189300,0.123338,0.123765,0.035731,0.060393,0.038429,0.624151,0.621961,16.550882
0.60,1,0.085516,0.128775,0.168470,0.058114,0.073851,0.024277,0.631099,0.522649,16.595851
0.60,1,0.092211,0.153164,0.163335,0.048303,0.078604,0.019817,0.616748,0.582369,16.022376
0.60,1,0.107578,0.136162,0.116076,0.064012,0.065096,0.027748,0.561048,0.566337,17.085661
0.60,1,0.159989,0.147771,0.185474,0.049321,0.071774,0.028613,0.557899,0.551580,15.719310
0.60,1,0.094866,0.127928,0.134824,0.053879,0.069554,0.025872,0.632636,0.564742,16.899161
0.60,1,0.172887,0.149098,0.155071,0.034306,0.085240,0.021882,0.581614,0.514365,18.008632
0.60,1,0.088979,0.128450,0.145311,0.060447,0.065344,0.028490,0.621281,0.576279,16.035184
0.60,1,0.110017,0.132888,0.117574,0.070942,0.090532,0.027443,0.609394,0.563737,12.361540
0.60,1,0.090547,0.133517,0.130067,0.061583,0.081397,0.026976,0.609545,0.561448,14.242022
0.60,2,17.391038,0.517198,0.514725,0.260996,0.149763,0.035157,0.115515,0.279922,19.459807
0.60,2,17.892935,0.559620,0.514725,0.260996,0.149763,0.035157,0.115515,0.279922,19.459807
0.60,2,20.386334,0.517198,0.669303,0.260996,0.149763,0.035157,0.115515,0.279922,19.459807
0.60,2,17.895947,0.517198,0.514725,0.281123,0.149763,0.035157,0.115515,0.279922,19.459807
0.60,2,17.218966,0.517198,0.514725,0.260996,0.192198,0.035157,0.115515,0.279922,19.459807
0.60,2,14.974959,0.517198,0.514725,0.260996,0.149763,0.054682,0.115515,0.279922,19.459807
0.60,2,17.312099,0.517198,0.514725,0.260996,0.149763,0.035157,0.223741,0.279922,19.459807
0.60,2,17.220727,0.517198,0.514725,0.260996,0.149763,0.035157,0.115515,0.404504,19.459807
0.60,2,17.348171,0.517198,0.514725,0.260996,0.149763,0.035157,0.115515,0.279922,24.025524
0.60,2,13.783237,0.530406,0.348764,0.267295,0.161500,0.039840,0.137391,0.307925,20.738447
0.60,2,11.434944,0.536302,0.216463,0.270097,0.167131,0.042259,0.149566,0.322832,21.347444
0.60,2,14.036256,0.534870,0.430011,0.229259,0.165740,0.041650,0.146442,0.319051,21.197267
0.60,2,13.219682,0.459058,0.409127,0.257246,0.169536,0.043330,0.155162,0.329529,21.606806
0.60,2,13.099448,0.515745,0.383484,0.256263,0.174152,0.045451,0.166644,0.342977,22.103040
0.60,2,12.193021,0.515379,0.352407,0.255008,0.179705,0.048125,0.181923,0.360286,16.292662
0.60,2,11.218234,0.514919,0.315513,0.253398,0.186287,0.051480,0.086094,0.382591,20.870521
0.60,2,8.776495,0.513761,0.235301,0.249166,0.200886,0.059747,0.050958,0.440487,21.538059
0.60,2,9.323268,0.514051,0.253597,0.250252,0.197489,0.057713,0.143148,0.269843,21.373769
0.60,2,8.254589,0.513250,0.206209,0.247220,0.158850,0.063223,0.150855,0.388094,21.821243
0.60,2,6.581859,0.511218,0.125354,0.239011,0.139462,0.075376,0.171593,0.449031,22.877792
0.60,2,7.724915,0.511730,0.141060,0.241149,0.197011,0.049363,0.166209,0.433645,22.622265
0.60,2,7.118322,0.481071,0.134988,0.269914,0.192013,0.064048,0.136150,0.415931,21.408599
0.60,2,6.871180,0.549083,0.110509,0.252679,0.193962,0.067264,0.124103,0.426682,20.942587
