country,birth_cohort,cohort_start,age_band,year,share_single,share_cohab,share_married,n_women_weighted
COL,1970-1974,1970,35-39,2007,0.509,0.3529,0.1381,18412954
COL,1970-1974,1970,35-39,2008,0.3008,0.3668,0.3324,18623791
COL,1970-1974,1970,35-39,2009,0.2929,0.392,0.3151,18466774
COL,1970-1974,1970,35-39,2010,0.2952000000000001,0.3956,0.3092,18416243
COL,1970-1974,1970,35-39,2011,0.3070999999999999,0.4007,0.2922,18423374
COL,1975-1979,1975,30-34,2007,0.4848,0.4002,0.115,18149625
COL,1975-1979,1975,30-34,2008,0.3175,0.4117,0.2708,18253554
COL,1975-1979,1975,30-34,2009,0.3134,0.4279,0.2587,18954380
COL,1975-1979,1975,30-34,2010,0.318,0.4215,0.2605,19443562
COL,1975-1979,1975,30-34,2011,0.3194,0.4355,0.2451,20058902
COL,1975-1979,1975,35-39,2012,0.2943999999999999,0.4167,0.2889,18419514
COL,1975-1979,1975,35-39,2013,0.3076,0.4145,0.2779,18443941
COL,1975-1979,1975,35-39,2014,0.3112999999999999,0.417,0.2717,19274920
COL,1975-1979,1975,35-39,2015,0.3101,0.411,0.2789,19660979
COL,1975-1979,1975,35-39,2016,0.3065,0.4215,0.272,20167077
COL,1980-1984,1980,25-29,2007,0.5051999999999999,0.4066,0.0882,20083155
COL,1980-1984,1980,25-29,2008,0.3994000000000001,0.422,0.1786,20127138
COL,1980-1984,1980,25-29,2009,0.3882000000000001,0.432,0.1798,20653334
COL,1980-1984,1980,25-29,2010,0.3969,0.4357,0.1674,20861548
COL,1980-1984,1980,25-29,2011,0.3869,0.4535,0.1596,20930460
COL,1980-1984,1980,30-34,2012,0.3245,0.4386,0.2369,20365857
COL,1980-1984,1980,30-34,2013,0.3222999999999999,0.4408,0.2369,21407848
COL,1980-1984,1980,30-34,2014,0.3305,0.4426,0.2269,21286642
COL,1980-1984,1980,30-34,2015,0.3292,0.4481,0.2227,21527655
COL,1980-1984,1980,30-34,2016,0.3226999999999999,0.4529,0.2244,21750003
COL,1980-1984,1980,35-39,2017,0.3091,0.4263,0.2646,20700687
COL,1980-1984,1980,35-39,2018,0.3173,0.4237,0.259,20905892
COL,1980-1984,1980,35-39,2019,0.3094,0.4335,0.2571,21134953
COL,1980-1984,1980,35-39,2020,0.3173,0.4414,0.2413,14189987
COL,1980-1984,1980,35-39,2021,0.3267000000000001,0.4401,0.2332,21010911
COL,1985-1989,1985,20-24,2007,0.5868,0.354,0.0592,23045366
COL,1985-1989,1985,20-24,2008,0.5621,0.3598,0.0781,22715255
COL,1985-1989,1985,20-24,2009,0.5543,0.3714,0.0743,22605551
COL,1985-1989,1985,20-24,2010,0.5552,0.3779,0.0669,22963555
COL,1985-1989,1985,20-24,2011,0.5484,0.3825,0.0691,23240230
COL,1985-1989,1985,25-29,2012,0.3873999999999999,0.4505,0.1621,21437579
COL,1985-1989,1985,25-29,2013,0.3969999999999999,0.4551,0.1479,21649741
COL,1985-1989,1985,25-29,2014,0.396,0.4575,0.1465,21902948
COL,1985-1989,1985,25-29,2015,0.3989,0.4616,0.1395,22048785
COL,1985-1989,1985,25-29,2016,0.4021,0.4602,0.1377,22425345
COL,1985-1989,1985,30-34,2017,0.3238,0.4667,0.2095,21767330
COL,1985-1989,1985,30-34,2018,0.3133,0.4838,0.2029,22130743
COL,1985-1989,1985,30-34,2019,0.322,0.4749,0.2031,22423915
COL,1985-1989,1985,30-34,2020,0.3232,0.4964,0.1804,14950195
COL,1985-1989,1985,30-34,2021,0.3535,0.4842,0.1623,22793392
COL,1985-1989,1985,35-39,2022,0.3354,0.4332,0.2314,22898482
COL,1985-1989,1985,35-39,2023,0.3451999999999999,0.4263,0.2285,23117034
COL,1985-1989,1985,35-39,2024,0.3563,0.4277,0.216,23706176
COL,1990-1994,1990,20-24,2012,0.5502,0.3878,0.062,23648312
COL,1990-1994,1990,20-24,2013,0.5494,0.3887,0.0619,23879998
COL,1990-1994,1990,20-24,2014,0.5559000000000001,0.3875,0.0566,24645480
COL,1990-1994,1990,20-24,2015,0.5547,0.3947,0.0506,24999655
COL,1990-1994,1990,20-24,2016,0.5559,0.3927,0.0514,25514274
COL,1990-1994,1990,25-29,2017,0.3992,0.4747,0.1261,23273107
COL,1990-1994,1990,25-29,2018,0.3983,0.4827,0.119,23712975
COL,1990-1994,1990,25-29,2019,0.4079,0.4802,0.1119,24295727
COL,1990-1994,1990,25-29,2020,0.4029,0.4989,0.0982,15947298
COL,1990-1994,1990,25-29,2021,0.4221,0.4858,0.0921,24307922
COL,1990-1994,1990,30-34,2022,0.366,0.4607,0.1733,23646558
COL,1990-1994,1990,30-34,2023,0.3698,0.4702,0.16,24243291
COL,1990-1994,1990,30-34,2024,0.3877,0.4576,0.1547,24465103
COL,1995-1999,1995,20-24,2017,0.5574999999999999,0.3905,0.052,25846823
COL,1995-1999,1995,20-24,2018,0.5587,0.3954,0.0459,26133845
COL,1995-1999,1995,20-24,2019,0.5606,0.4042,0.0352,26242097
COL,1995-1999,1995,20-24,2020,0.5535,0.4162,0.0303,16723788
COL,1995-1999,1995,20-24,2021,0.5736,0.3996,0.0268,26118754
COL,1995-1999,1995,25-29,2022,0.4394,0.4686,0.092,24439298
COL,1995-1999,1995,25-29,2023,0.4528999999999999,0.4654,0.0817,24270384
COL,1995-1999,1995,25-29,2024,0.4661,0.4526,0.0813,24026685
COL,2000-2004,2000,20-24,2022,0.6124999999999999,0.3643,0.0232,24927381
COL,2000-2004,2000,20-24,2023,0.6089000000000001,0.3676,0.0235,24539532
COL,2000-2004,2000,20-24,2024,0.6316999999999999,0.3441,0.0242,23887816
